종목코드,종목명,종가,대비,등락률,상장시가총액
"001120","LX인터내셔널","24500","250","1.03","949620.0"
"001680","대상","22500","400","1.81","779581.0"
"003000","부광약품","12900","450","3.61","916713.0"
"003470","유안타증권","4130","140","3.51","824334.0"
"003520","영진약품","4305","35","0.82","787353.0"
"003580","넥스트사이언스","21450","1550","7.79","902312.0"
"005440","현대그린푸드","8330","130","1.59","813878.0"
"005690","파미셀","13050","200","1.56","782464.0"
"005880","대한해운","2490","45","1.84","794752.0"
"006040","동원산업","219500","5000","2.33","807242.0"
"006120","SK디스커버리","45400","500","1.11","864319.0"
"009450","경동나비엔","56300","900","1.62","820212.0"
"010050","우리종금","914","10","1.11","799022.0"
"014830","유니드","105000","1500","1.45","933434.0"
"015350","부산가스","84300","0","0.00","927300.0"
"017390","서울가스","160000","1000","0.63","800000.0"
"020000","한섬","36600","700","1.95","901458.0"
"033270","유나이티드제약","48950","1400","2.94","795184.0"
"034120","SBS","44700","550","1.25","815890.0"
"036420","제이콘텐트리","50500","1300","2.64","890863.0"
"049770","동원F&B","192000","2000","1.05","740952.0"
"057050","현대홈쇼핑","63300","1100","1.77","759600.0"
"069260","휴켐스","23200","550","2.43","948383.0"
"079160","CJ CGV","23750","450","1.93","901238.0"
"089590","제주항공","16900","500","3.05","840938.0"
"097520","엠씨넥스","51100","100","0.20","918230.0"
"103140","풍산","30500","600","2.01","854740.0"
"105630","한세실업","21000","1000","5.00","840000.0"
"114090","GKL","12700","500","4.10","785567.0"
"161890","한국콜마","39700","550","1.40","908383.0"
"195870","해성디에스","46900","750","1.63","797300.0"
"241590","화승엔터프라이즈","15400","350","2.33","932790.0"
"267260","현대일렉트릭","22650","300","1.34","816468.0"
"267270","현대건설기계","39150","900","2.35","771286.0"
"272450","진에어","16850","650","4.01","879570.0"
"280360","롯데제과","120000","3000","2.56","770006.0"
"284740","쿠쿠홈시스","38350","400","1.05","860472.0"
"344820","KCC글라스","56500","1600","2.91","902334.0"
"286940","롯데정보통신","35850","850","2.43","551958.0"
"001880","DL건설","26900","300","1.13","593233.0"
"383800","LX홀딩스","9080","0","0.00","692629.0"
"085620","미래에셋생명","4140","100","2.48","732847.0"
"097230","한진중공업","7970","-40","-0.50","663696.0"
"102460","이연제약","40000","0","0.00","719943.0"
"108670","LX하우시스","61500","900","1.49","551512.0"
"115390","락앤락","10700","250","2.39","551589.0"
"145720","덴티움","63100","7100","12.68","698443.0"
"145990","삼양사","62800","900","1.45","647685.0"
"161000","애경케미칼","11050","150","1.38","537568.0"
"170900","동아에스티","72400","2000","2.84","611361.0"
"192400","쿠쿠홀딩스","18650","100","0.54","663235.0"
"192650","드림텍","10050","380","3.93","656700.0"
"210980","SK디앤디","30800","2150","7.50","683457.0"
"026890","디피씨","14850","-450","-2.94","618921.0"
"030610","교보증권","8460","120","1.44","546967.0"
"034310","NICE","16250","250","1.56","615587.0"
"034830","한국토지신탁","2600","35","1.36","656472.0"
"037270","YG PLUS","8480","500","6.27","537881.0"
"042670","현대두산인프라코어","7470","-110","-1.45","614974.0"
"064960","SNT모티브","43950","200","0.46","642687.0"
"071840","롯데하이마트","25650","600","2.40","605538.0"
"009970","영원무역홀딩스","48700","-300","-0.61","664053.0"
"012630","HDC","10250","150","1.49","612353.0"
"016710","대성홀딩스","45900","500","1.10","738506.0"
"017810","풀무원","16750","350","2.13","638519.0"
"020120","키다리스튜디오","16300","-250","-1.51","542738.0"
"025540","한국단자","69600","2500","3.73","724884.0"
"005090","SGC에너지","43450","1550","3.70","637716.0"
"005610","SPC삼립","70800","2300","3.36","610934.0"
"006390","한일현대시멘트","31950","450","1.43","567896.0"
"007340","디티알오토모티브","59200","-600","-1.00","591645.0"
"007570","일양약품","28800","650","2.31","549667.0"
"007810","코리아써키트","23200","50","0.22","548001.0"
"008730","율촌화학","23850","50","0.21","591480.0"
"002350","넥센타이어","6710","180","2.76","655351.0"
"003070","코오롱글로벌","22400","-50","-0.22","564714.0"
"003230","삼양식품","87300","100","0.11","657632.0"
"003280","흥아해운","2860","205","7.72","687615.0"
"001430","세아베스틸","20400","400","2.00","731587.0"
"001530","DI동일","254000","1500","0.59","637706.0"
"001720","신영증권","58900","900","1.55","552849.0"
"001820","삼화콘덴서","54700","800","1.48","568607.0"
"298040","효성중공업","61800","1000","1.64","576257.0"
"249420","일동제약","17050","0","0.00","405846.0"
"271980","제일약품","30850","400","1.31","453645.0"
